               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.054276,             0.52561,            0.017735,             0.73322,             0.49673,              0.5442,             0.32044,            0.047794,             0.43353,            0.015134,            0.003268,            0.003268,            0.003268
                  70,            0.053576,             0.49658,             0.01751,             0.71264,             0.49719,              0.5434,             0.31933,            0.047742,             0.43301,            0.015145,            0.003169,            0.003169,            0.003169
                  71,            0.054362,             0.49993,            0.018167,             0.72118,             0.49138,             0.54616,             0.32468,            0.047667,             0.43106,            0.015075,             0.00307,             0.00307,             0.00307
                  72,             0.05432,             0.50481,             0.01788,              0.7267,             0.50659,             0.54762,              0.3239,            0.047699,             0.43042,            0.014956,            0.002971,            0.002971,            0.002971
                  73,            0.053579,              0.4788,            0.017977,             0.73833,             0.48732,             0.54395,             0.32296,            0.047809,             0.43275,            0.015008,            0.002872,            0.002872,            0.002872
                  74,            0.053969,             0.49135,            0.017818,             0.74088,              0.4953,             0.54852,             0.32457,            0.047648,             0.43046,            0.015013,            0.002773,            0.002773,            0.002773
                  75,            0.053654,             0.48484,            0.017743,             0.73315,              0.5019,             0.54791,             0.32776,            0.047563,             0.42901,            0.014896,            0.002674,            0.002674,            0.002674
                  76,            0.054595,             0.50595,            0.017968,              0.7579,             0.49689,             0.55311,             0.32738,            0.047677,              0.4317,            0.014957,            0.002575,            0.002575,            0.002575
                  77,            0.053795,             0.50283,            0.017481,             0.75425,             0.49377,             0.54923,             0.32679,            0.047507,             0.42794,            0.014943,            0.002476,            0.002476,            0.002476
                  78,            0.053872,             0.50609,            0.017554,             0.74877,             0.50419,             0.55273,             0.32971,            0.047499,             0.42921,            0.014903,            0.002377,            0.002377,            0.002377
                  79,            0.053634,             0.49984,            0.017182,              0.7391,             0.50679,             0.54998,             0.32776,             0.04741,             0.42924,            0.014898,            0.002278,            0.002278,            0.002278
                  80,            0.053543,             0.48121,             0.01739,              0.7334,             0.50611,             0.54954,              0.3303,            0.047472,             0.42883,             0.01489,            0.002179,            0.002179,            0.002179
                  81,            0.054512,             0.50756,            0.017561,             0.74082,             0.50562,             0.55251,             0.33063,            0.047354,              0.4287,            0.014903,             0.00208,             0.00208,             0.00208
                  82,            0.053934,             0.49847,             0.01723,             0.74724,             0.50725,             0.55324,             0.33219,            0.047364,              0.4293,            0.014936,            0.001981,            0.001981,            0.001981
